Numero,Nom,Type1,Type2,PV,Attaque,Defense,Attaque_speciale,Defense_speciale,Vitesse,Legendaire
1,Bulbizarre,Plante,Poison,45,49,49,65,65,45,False
2,Herbizarre,Plante,Poison,60,62,63,80,80,60,False
3,Florizarre,Plante,Poison,80,82,83,100,100,80,False
5,Reptincel,Feu,,58,64,58,80,65,80,False
6,Dracaufeu,Feu,Vol,78,84,78,109,85,100,False
8,Carabaffe,Eau,,59,63,80,65,80,58,False
9,Tortank,Eau,,79,83,100,85,105,78,False
10,Chenipan,Insecte,,45,30,35,20,20,45,False
11,Chrysacier,Insecte,,50,20,55,25,25,30,False
12,Papilusion,Insecte,Vol,60,45,50,90,80,70,False
13,Aspicot,Insecte,Poison,40,35,30,20,20,50,False
14,Coconfort,Insecte,Poison,45,25,50,25,25,35,False
15,Dardargnan,Insecte,Poison,65,90,40,45,80,75,False
16,Roucool,Normal,Vol,40,45,40,35,35,56,False
17,Roucoups,Normal,Vol,63,60,55,50,50,71,False
18,Roucarnage,Normal,Vol,83,80,75,70,70,101,False
19,Rattata,Normal,,30,56,35,25,35,72,False
20,Rattatac,Normal,,55,81,60,50,70,97,False
21,Piafabec,Normal,Vol,40,60,30,31,31,70,False
22,Rapasdepic,Normal,Vol,65,90,65,61,61,100,False
23,Abo,Poison,,35,60,44,40,54,55,False
24,Arbok,Poison,,60,85,69,65,79,80,False
25,Pikachu,Électrik,,35,55,40,50,50,90,False
26,Raichu,Électrik,,60,90,55,90,80,110,False
27,Sabelette,Sol,,50,75,85,20,30,40,False
28,Sablaireau,Sol,,75,100,110,45,55,65,False
29,Nidoran F,Poison,,55,47,52,40,40,41,False
30,Nidorina,Poison,,70,62,67,55,55,56,False
31,Nidoreine,Poison,Sol,90,92,87,75,85,76,False
32,Nidoran M,Poison,,46,57,40,40,40,50,False
33,Nidorino,Poison,,61,72,57,55,55,65,False
34,Nidoking,Poison,Sol,81,102,77,85,75,85,False
35,Mélofée,Fée,,70,45,48,60,65,35,False
36,Mélodelfe,Fée,,95,70,73,95,90,60,False
37,Goupix,Feu,,38,41,40,50,65,65,False
38,Feunard,Feu,,73,76,75,81,100,100,False
39,Rondoudou,Normal,Fée,115,45,20,45,25,20,False
40,Grodoudou,Normal,Fée,140,70,45,85,50,45,False
41,Nosferapti,Poison,Vol,40,45,35,30,40,55,False
42,Nosferalto,Poison,Vol,75,80,70,65,75,90,False
43,Mystherbe,Plante,Poison,45,50,55,75,65,30,False
44,Ortide,Plante,Poison,60,65,70,85,75,40,False
45,Rafflesia,Plante,Poison,75,80,85,110,90,50,False
46,Paras,Insecte,Plante,35,70,55,45,55,25,False
47,Parasect,Insecte,Plante,60,95,80,60,80,30,False
48,Mimitoss,Insecte,Poison,60,55,50,40,55,45,False
49,Aéromite,Insecte,Poison,70,65,60,90,75,90,False
50,Taupiqueur,Sol,,10,55,25,35,45,95,False
51,Triopikeur,Sol,,35,80,50,50,70,120,False
52,Miaouss,Normal,,40,45,35,40,40,90,False
53,Persian,Normal,,65,70,60,65,65,115,False
54,Psykokwak,Eau,,50,52,48,65,50,55,False
55,Akwakwak,Eau,,80,82,78,95,80,85,False
56,Férosinge,Combat,,40,80,35,35,45,70,False
57,Colossinge,Combat,,65,105,60,60,70,95,False
58,Caninos,Feu,,55,70,45,70,50,60,False
59,Arcanin,Feu,,90,110,80,100,80,95,False
